prefix,completion,translation,score,type,particle_num,model_type,trial_id
What is the,What is the bottom-right corner of the purple ship?,(bottomright (coloredTiles Purple)),2.5,rollout,1,COMBINED,18
What is the,What is the bottommost square occupied by the purple ship?,(bottomright (coloredTiles Purple)),2.5,rollout,2,COMBINED,18
What is the,What is the leftmost square occupied by the purple ship?,(topleft (coloredTiles Purple)),0.954434,rollout,2,COMBINED,18
What is the,What is the bottom-right corner of the purple ship?,(bottomright (coloredTiles Purple)),2.5,rollout,2,COMBINED,18
What is the,What is the bottommost square occupied by the purple ship?,(bottomright (coloredTiles Purple)),2.5,rollout,3,COMBINED,18
What is the,What is the leftmost square occupied by the purple ship?,(topleft (coloredTiles Purple)),0.954434,rollout,3,COMBINED,18
What is the,What is the bottom-right corner of the purple ship?,(bottomright (coloredTiles Purple)),2.5,rollout,3,COMBINED,18
What is the,What is the bottommost square occupied by the purple ship?,(bottomright (coloredTiles Purple)),2.5,rollout,4,COMBINED,18
What is the,What is the leftmost square occupied by the purple ship?,(topleft (coloredTiles Purple)),0.954434,rollout,4,COMBINED,18
What is the,What is the bottom-right corner of the purple ship?,(bottomright (coloredTiles Purple)),2.5,rollout,4,COMBINED,18
What is the distance,What is the distance between the red ship and the blue ship?,(distance Red Blue),0,rollout,3,COMBINED,18
What is the distance,What is the distance between the leftmost and rightmost squares occupied by the blue ship?,(distance (topleft (coloredTiles Blue)) (bottomright (coloredTiles Blue))),0,rollout,3,COMBINED,18
What is the distance,What is the distance between the red ship and water?,(distance Red Water),0,rollout,3,COMBINED,18
What is the distance,What is the distance between the red ship and the blue ship?,(distance Red Blue),0,rollout,4,COMBINED,18
What is the distance,What is the distance between the leftmost and rightmost squares occupied by the blue ship?,(distance (topleft (coloredTiles Blue)) (bottomright (coloredTiles Blue))),0,rollout,4,COMBINED,18
What is the distance,What is the distance between the red ship and water?,(distance Red Water),0,rollout,4,COMBINED,18
What is the distance between,What is the distance between the blue ship and the red ship?,(distance Blue Red),0,rollout,3,COMBINED,18
What is the distance between,What is the distance between the leftmost block and the rightmost block of the purple ship?,(distance (topleft (coloredTiles Purple)) (bottomright (coloredTiles Purple))),0,rollout,3,COMBINED,18
What is the distance between,What is the distance between the topmost square of the blue ship and the lowest square of the blue ship?,(distance (topleft (coloredTiles Blue)) (bottomright (coloredTiles Blue))),0,rollout,3,COMBINED,18
What is the distance between,What is the distance between the blue ship and the red ship?,(distance Blue Red),0,rollout,4,COMBINED,18
What is the distance between,What is the distance between the leftmost block and the rightmost block of the purple ship?,(distance (topleft (coloredTiles Purple)) (bottomright (coloredTiles Purple))),0,rollout,4,COMBINED,18
What is the distance between,What is the distance between the topmost square of the blue ship and the lowest square of the blue ship?,(distance (topleft (coloredTiles Blue)) (bottomright (coloredTiles Blue))),0,rollout,4,COMBINED,18
What is the distance between the,What is the distance between the first block of the red ship and the last block of the red ship?,(distance (topleft (coloredTiles Red)) (bottomright (coloredTiles Red))),0,rollout,3,COMBINED,18
What is the distance between the,What is the distance between the blue ship and the red ship?,(distance Blue Red),0,rollout,3,COMBINED,18
What is the distance between the,What is the distance between the blue ship and the red ship?,(distance Blue Red),0,rollout,3,COMBINED,18
What is the distance between the,What is the distance between the first block of the red ship and the last block of the red ship?,(distance (topleft (coloredTiles Red)) (bottomright (coloredTiles Red))),0,rollout,4,COMBINED,18
What is the distance between the,What is the distance between the blue ship and the red ship?,(distance Blue Red),0,rollout,4,COMBINED,18
What is the distance between the,What is the distance between the blue ship and the red ship?,(distance Blue Red),0,rollout,4,COMBINED,18
What is the distance between the blue,What is the distance between the blue ship and the red ship?,(distance Blue Red),0,rollout,3,COMBINED,18
What is the distance between the blue,What is the distance between the blue ship and the red ship?,(distance Blue Red),0,rollout,3,COMBINED,18
What is the distance between the blue,What is the distance between the blue ship and the red ship?,(distance Blue Red),0,rollout,3,COMBINED,18
What is the distance between the blue,What is the distance between the blue ship and the red ship?,(distance Blue Red),0,rollout,4,COMBINED,18
What is the distance between the blue,What is the distance between the blue ship and the red ship?,(distance Blue Red),0,rollout,4,COMBINED,18
What is the distance between the blue,What is the distance between the blue ship and the red ship?,(distance Blue Red),0,rollout,4,COMBINED,18
What is the distance between the blue ship,What is the distance between the blue ship and the purple ship?,(distance Blue Purple),0,rollout,3,COMBINED,18
What is the distance between the blue ship,What is the distance between the blue ship and the purple ship?,(distance Blue Purple),0,rollout,3,COMBINED,18
What is the distance between the blue ship,What is the distance between the blue ship and the red ship?,(distance Blue Red),0,rollout,3,COMBINED,18
What is the distance between the blue ship,What is the distance between the blue ship and the purple ship?,(distance Blue Purple),0,rollout,4,COMBINED,18
What is the distance between the blue ship,What is the distance between the blue ship and the purple ship?,(distance Blue Purple),0,rollout,4,COMBINED,18
What is the distance between the blue ship,What is the distance between the blue ship and the red ship?,(distance Blue Red),0,rollout,4,COMBINED,18
What is the distance between the blue ship and,What is the distance between the blue ship and the red ship?,(distance Blue Red),0,rollout,3,COMBINED,18
What is the distance between the blue ship and,What is the distance between the blue ship and the red ship?,(distance Blue Red),0,rollout,3,COMBINED,18
What is the distance between the blue ship and,What is the distance between the blue ship and the red ship?,(distance Blue Red),0,rollout,3,COMBINED,18
What is the distance between the blue ship and,What is the distance between the blue ship and the red ship?,(distance Blue Red),0,rollout,4,COMBINED,18
What is the distance between the blue ship and,What is the distance between the blue ship and the red ship?,(distance Blue Red),0,rollout,4,COMBINED,18
What is the distance between the blue ship and,What is the distance between the blue ship and the red ship?,(distance Blue Red),0,rollout,4,COMBINED,18
What is the distance between the blue ship and red,What is the distance between the blue ship and red ship?,(distance Blue Red),0,rollout,3,COMBINED,18
What is the distance between the blue ship and red,What is the distance between the blue ship and red ship?,(distance Blue Red),0,rollout,3,COMBINED,18
What is the distance between the blue ship and red,What is the distance between the blue ship and red ship?,(distance Blue Red),0,rollout,3,COMBINED,18
What is the distance between the blue ship and red,What is the distance between the blue ship and red ship?,(distance Blue Red),0,rollout,4,COMBINED,18
What is the distance between the blue ship and red,What is the distance between the blue ship and red ship?,(distance Blue Red),0,rollout,4,COMBINED,18
What is the distance between the blue ship and red,What is the distance between the blue ship and red ship?,(distance Blue Red),0,rollout,4,COMBINED,18
What is the distance between the blue ship and red ship,What is the distance between the blue ship and red ship?,(distance Blue Red),0,rollout,3,COMBINED,18
What is the distance between the blue ship and red ship,What is the distance between the blue ship and red ship?,(distance Blue Red),0,rollout,3,COMBINED,18
What is the distance between the blue ship and red ship,What is the distance between the blue ship and red ship?,(distance Blue Red),0,rollout,3,COMBINED,18
What is the distance between the blue ship and red ship,What is the distance between the blue ship and red ship?,(distance Blue Red),0,rollout,4,COMBINED,18
What is the distance between the blue ship and red ship,What is the distance between the blue ship and red ship?,(distance Blue Red),0,rollout,4,COMBINED,18
What is the distance between the blue ship and red ship,What is the distance between the blue ship and red ship?,(distance Blue Red),0,rollout,4,COMBINED,18
What is the distance between the blue ship and red ship?,What is the distance between the blue ship and red ship?,(distance Blue Red),0,final,3,COMBINED,18
What is the distance between the blue ship and red ship?,What is the distance between the blue ship and red ship?,(distance Blue Red),0,rollout,3,COMBINED,18
What is the distance between the blue ship and red ship?,What is the distance between the blue ship and red ship?,(distance Blue Red),0,rollout,3,COMBINED,18
What is the distance between the blue ship and red ship?,What is the distance between the blue ship and red ship?,(distance Blue Red),0,rollout,3,COMBINED,18
What is the distance between the blue ship and red ship?,What is the distance between the blue ship and red ship?,(distance Blue Red),0,final,4,COMBINED,18
What is the distance between the blue ship and red ship?,What is the distance between the blue ship and red ship?,(distance Blue Red),0,rollout,4,COMBINED,18
What is the distance between the blue ship and red ship?,What is the distance between the blue ship and red ship?,(distance Blue Red),0,rollout,4,COMBINED,18
What is the distance between the blue ship and red ship?,What is the distance between the blue ship and red ship?,(distance Blue Red),0,rollout,4,COMBINED,18
What is the left,What is the leftmost vertical ship?,(leftmost (filter (lambda x0 (== (orient x0) V)) (set AllColors))),0,rollout,0,COMBINED,18
What is the left,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,0,COMBINED,18
What is the left,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,0,COMBINED,18
What is the left,What is the leftmost vertical ship?,(leftmost (filter (lambda x0 (== (orient x0) V)) (set AllColors))),0,rollout,1,COMBINED,18
What is the left,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,1,COMBINED,18
What is the left,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,1,COMBINED,18
What is the left,What is the leftmost vertical ship?,(leftmost (filter (lambda x0 (== (orient x0) V)) (set AllColors))),0,rollout,2,COMBINED,18
What is the left,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,2,COMBINED,18
What is the left,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,2,COMBINED,18
What is the leftmost,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,0,COMBINED,18
What is the leftmost,What is the leftmost square of the red ship?,(topleft (coloredTiles Red)),0,rollout,0,COMBINED,18
What is the leftmost,What is the leftmost coordinate of the red ship?,(topleft (coloredTiles Red)),0,rollout,0,COMBINED,18
What is the leftmost,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,1,COMBINED,18
What is the leftmost,What is the leftmost square of the red ship?,(topleft (coloredTiles Red)),0,rollout,1,COMBINED,18
What is the leftmost,What is the leftmost coordinate of the red ship?,(topleft (coloredTiles Red)),0,rollout,1,COMBINED,18
What is the leftmost,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,2,COMBINED,18
What is the leftmost,What is the leftmost square of the red ship?,(topleft (coloredTiles Red)),0,rollout,2,COMBINED,18
What is the leftmost,What is the leftmost coordinate of the red ship?,(topleft (coloredTiles Red)),0,rollout,2,COMBINED,18
What is the leftmost square,What is the leftmost square occupied by the purple ship?,(topleft (coloredTiles Purple)),0.954434,rollout,0,COMBINED,18
What is the leftmost square,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,0,COMBINED,18
What is the leftmost square,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,0,COMBINED,18
What is the leftmost square,What is the leftmost square occupied by the purple ship?,(topleft (coloredTiles Purple)),0.954434,rollout,1,COMBINED,18
What is the leftmost square,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,1,COMBINED,18
What is the leftmost square,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,1,COMBINED,18
What is the leftmost square,What is the leftmost square occupied by the purple ship?,(topleft (coloredTiles Purple)),0.954434,rollout,2,COMBINED,18
What is the leftmost square,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,2,COMBINED,18
What is the leftmost square,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,2,COMBINED,18
What is the leftmost square occupied,What is the leftmost square occupied by the red ship?,(topleft (coloredTiles Red)),0,rollout,0,COMBINED,18
What is the leftmost square occupied,What is the leftmost square occupied by the purple ship?,(topleft (coloredTiles Purple)),0.954434,rollout,0,COMBINED,18
What is the leftmost square occupied,What is the leftmost square occupied by the red ship?,(topleft (coloredTiles Red)),0,rollout,0,COMBINED,18
What is the leftmost square occupied,What is the leftmost square occupied by the red ship?,(topleft (coloredTiles Red)),0,rollout,1,COMBINED,18
What is the leftmost square occupied,What is the leftmost square occupied by the purple ship?,(topleft (coloredTiles Purple)),0.954434,rollout,1,COMBINED,18
What is the leftmost square occupied,What is the leftmost square occupied by the red ship?,(topleft (coloredTiles Red)),0,rollout,1,COMBINED,18
What is the leftmost square occupied,What is the leftmost square occupied by the red ship?,(topleft (coloredTiles Red)),0,rollout,2,COMBINED,18
What is the leftmost square occupied,What is the leftmost square occupied by the purple ship?,(topleft (coloredTiles Purple)),0.954434,rollout,2,COMBINED,18
What is the leftmost square occupied,What is the leftmost square occupied by the red ship?,(topleft (coloredTiles Red)),0,rollout,2,COMBINED,18
What is the leftmost square occupied by,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,0,COMBINED,18
What is the leftmost square occupied by,What is the leftmost square occupied by the red ship?,(topleft (coloredTiles Red)),0,rollout,0,COMBINED,18
What is the leftmost square occupied by,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,0,COMBINED,18
What is the leftmost square occupied by,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,1,COMBINED,18
What is the leftmost square occupied by,What is the leftmost square occupied by the red ship?,(topleft (coloredTiles Red)),0,rollout,1,COMBINED,18
What is the leftmost square occupied by,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,1,COMBINED,18
What is the leftmost square occupied by,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,2,COMBINED,18
What is the leftmost square occupied by,What is the leftmost square occupied by the red ship?,(topleft (coloredTiles Red)),0,rollout,2,COMBINED,18
What is the leftmost square occupied by,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,2,COMBINED,18
What is the leftmost square occupied by a,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,0,COMBINED,18
What is the leftmost square occupied by a,What is the leftmost square occupied by a ship?,(minimum (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,0,COMBINED,18
What is the leftmost square occupied by a,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,0,COMBINED,18
What is the leftmost square occupied by a,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,1,COMBINED,18
What is the leftmost square occupied by a,What is the leftmost square occupied by a ship?,(minimum (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,1,COMBINED,18
What is the leftmost square occupied by a,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,1,COMBINED,18
What is the leftmost square occupied by a,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,2,COMBINED,18
What is the leftmost square occupied by a,What is the leftmost square occupied by a ship?,(minimum (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,2,COMBINED,18
What is the leftmost square occupied by a,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,2,COMBINED,18
What is the leftmost square occupied by a ship,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,0,COMBINED,18
What is the leftmost square occupied by a ship,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,0,COMBINED,18
What is the leftmost square occupied by a ship,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,0,COMBINED,18
What is the leftmost square occupied by a ship,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,1,COMBINED,18
What is the leftmost square occupied by a ship,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,1,COMBINED,18
What is the leftmost square occupied by a ship,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,1,COMBINED,18
What is the leftmost square occupied by a ship,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,2,COMBINED,18
What is the leftmost square occupied by a ship,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,2,COMBINED,18
What is the leftmost square occupied by a ship,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,2,COMBINED,18
What is the leftmost square occupied by a ship?,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,final,0,COMBINED,18
What is the leftmost square occupied by a ship?,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,0,COMBINED,18
What is the leftmost square occupied by a ship?,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,0,COMBINED,18
What is the leftmost square occupied by a ship?,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,0,COMBINED,18
What is the leftmost square occupied by a ship?,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,final,1,COMBINED,18
What is the leftmost square occupied by a ship?,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,1,COMBINED,18
What is the leftmost square occupied by a ship?,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,1,COMBINED,18
What is the leftmost square occupied by a ship?,What is the leftmost square occupied by a ship?,(minimum (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,1,COMBINED,18
What is the leftmost square occupied by a ship?,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,final,2,COMBINED,18
What is the leftmost square occupied by a ship?,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,2,COMBINED,18
What is the leftmost square occupied by a ship?,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,2,COMBINED,18
What is the leftmost square occupied by a ship?,What is the leftmost square occupied by a ship?,(min (map (lambda x0 (topleft (coloredTiles x0))) (set AllColors))),0,rollout,2,COMBINED,18
"
","
",(== (size Red) 3),0,final,2,REGULAR,18
"
",Answer:,(size Red),0,rollout,2,REGULAR,18
"
",Answers:,(list (size Red) (== (size Purple) 4) (== (orient Purple) V) (color 1-B),0,rollout,2,REGULAR,18
"
",# Homework,(== (size Red) 3),0,rollout,2,REGULAR,18
"
","
",(== (size Red) 4),0,final,3,REGULAR,18
"
",## Answers:,(size Red),0,rollout,3,REGULAR,18
"
",Solution:,(== (size Red) 3),0,rollout,3,REGULAR,18
"
",```,```,0,rollout,3,REGULAR,18
"
","
",(== (size Red) 3),0,final,4,REGULAR,18
"
",Answer:,(size Red),0,rollout,4,REGULAR,18
"
",#### Input Format,(define (input),0,rollout,4,REGULAR,18
"
",,(== (size Red) 3),0,rollout,4,REGULAR,18
Does,Does the red ship go downwards?,(== (orient Red) V),0,rollout,0,REGULAR,18
Does,Does the blue ship touch the purple ship?,(touch Blue Purple),0.811278,rollout,0,REGULAR,18
Does,Does the blue ship contain the co-ordinate 3A?,(contains (coloredTiles Blue) 3-A),0,rollout,0,REGULAR,18
Does the,Does the red ship have 2 blocks?,(== (size Red) 2),0,rollout,0,REGULAR,18
Does the,Does the red ship touch the blue ship?,(touch Red Blue),0,rollout,0,REGULAR,18
Does the,Does the red ship have 2 tiles?,(== (size Red) 2),0,rollout,0,REGULAR,18
Does the red,Does the red ship touch the blue ship?,(touch Red Blue),0,rollout,0,REGULAR,18
Does the red,Does the red ship have 2 tiles?,(== (size Red) 2),0,rollout,0,REGULAR,18
Does the red,Does the red ship contain 3 spaces?,(== (size Red) 3),0,rollout,0,REGULAR,18
Does the red ship,Does the red ship have 3 heads?,(== (heads Red) 3),0,rollout,0,REGULAR,18
Does the red ship,Does the red ship touch the blue ship?,(touch Red Blue),0,rollout,0,REGULAR,18
Does the red ship,Does the red ship have 3 tiles?,(== (size Red) 3),0,rollout,0,REGULAR,18
Does the red ship have,Does the red ship have 20 tiles?,(== (size Red) 20),0,rollout,0,REGULAR,18
Does the red ship have,Does the red ship have 2 tiles?,(== (size Red) 2),0,rollout,0,REGULAR,18
Does the red ship have,Does the red ship have 3 tiles?,(== (size Red) 3),0,rollout,0,REGULAR,18
Does the red ship have ,Does the red ship have 5 tiles?,(== (size Red) 5),0,rollout,0,REGULAR,18
Does the red ship have ,Does the red ship have 3 tiles?,(== (size Red) 3),0,rollout,0,REGULAR,18
Does the red ship have ,Does the red ship have 1 tile?,(== (size Red) 1),0,rollout,0,REGULAR,18
Does the red ship have 2,Does the red ship have 2 tiles?,(== (size Red) 2),0,rollout,0,REGULAR,18
Does the red ship have 2,Does the red ship have 2 tiles?,(== (size Red) 2),0,rollout,0,REGULAR,18
Does the red ship have 2,Does the red ship have 2 tiles?,(== (size Red) 2),0,rollout,0,REGULAR,18
Does the red ship have 2 t,Does the red ship have 2 tiles?,(== (size Red) 2),0,rollout,0,REGULAR,18
Does the red ship have 2 t,Does the red ship have 2 tiles?,(== (size Red) 2),0,rollout,0,REGULAR,18
Does the red ship have 2 t,Does the red ship have 2 tiles?,(== (size Red) 2),0,rollout,0,REGULAR,18
Does the red ship have 2 tiles,Does the red ship have 2 tiles?,(== (size Red) 2),0,rollout,0,REGULAR,18
Does the red ship have 2 tiles,Does the red ship have 2 tiles?,(== (size Red) 2),0,rollout,0,REGULAR,18
Does the red ship have 2 tiles,Does the red ship have 2 tiles?,(== (size Red) 2),0,rollout,0,REGULAR,18
Does the red ship have 2 tiles?,Does the red ship have 2 tiles?,(== (size Red) 2),0,final,0,REGULAR,18
Does the red ship have 2 tiles?,Does the red ship have 2 tiles?,(== (size Red) 2),0,rollout,0,REGULAR,18
Does the red ship have 2 tiles?,Does the red ship have 2 tiles?,(== (size Red) 2),0,rollout,0,REGULAR,18
Does the red ship have 2 tiles?,Does the red ship have 2 tiles?,(== (size Red) 2),0,rollout,0,REGULAR,18
What,What is the coordinate of the ship with 12 tiles?,(topleft (coloredTiles (coloredTiles (coloredTiles (coloredTiles (coloredTiles (coloredT,0,rollout,1,REGULAR,18
What,What is the number of blocks in the red ship?,(size Red),0,rollout,1,REGULAR,18
What,What is the coordinate of the center of the blue ship?,(center (coloredTiles Blue)),0,rollout,1,REGULAR,18
What is,What is the distance between the leftmost square of the blue ship and the leftmost blue ship?,(distance (topleft (coloredTiles Blue)) (topleft (coloredTiles Blue))),0,rollout,1,REGULAR,18
What is,What is the Y coordinate of the topmost square occupied by the red ship?,(topleft (coloredTiles Red)),0,rollout,1,REGULAR,18
What is,What is the distance between the first block of the blue ship and the last block of the green ship?,(distance (topleft (coloredTiles Blue)) (bottomright (coloredTiles Green))),0,rollout,1,REGULAR,18
What is the,What is the length of the longest ship?,(max (map (lambda x0 (size x0)) (set AllColors))),0,rollout,1,REGULAR,18
What is the,What is the rightmost square occupied by the blue ship?,(bottomright (coloredTiles Blue)),0,rollout,1,REGULAR,18
What is the,What is the leftmost square occupied by the blue ship?,(topleft (coloredTiles Blue)),0,rollout,1,REGULAR,18
What is the bottom,What is the bottom left corner of the blue ship?,(topleft (coloredTiles Blue)),0,rollout,1,REGULAR,18
What is the bottom,What is the bottom rightmost square occupied by the blue ship?,(bottomright (coloredTiles Blue)),0,rollout,1,REGULAR,18
What is the bottom,What is the bottom coordinate of the ship at 2C?,(bottomright (coloredTiles 2-C)),0,rollout,1,REGULAR,18
What is the bottom middle,What is the bottom middle square of the blue ship?,(bottommiddle (coloredTiles Blue)),0,rollout,1,REGULAR,18
What is the bottom middle,What is the bottom middle square occupied by the purple ship?,(bottommiddle (coloredTiles Purple)),0,rollout,1,REGULAR,18
What is the bottom middle,What is the bottom middle square occupied by the purple ship?,(bottommiddle (coloredTiles Purple)),0,rollout,1,REGULAR,18
